journal_id,url,identifier,eid,title,creator,publication_name,issn,eissn,volume,issue,page_range,cover_date,cited_by,doi
f8a37d55-fcbc-4c62-876e-37cc8e7276a5,https://api.elsevier.com/content/abstract/scopus_id/85208762357,85208762357,2-s2.0-85208762357,Multiproduct pipeline scheduling: A comprehensive bibliometric analysis and a systematic literature review,Sidki M.,Computers and Chemical Engineering,00981354,,192,,,2025-01-01,0,10.1016/j.compchemeng.2024.108911
6a19604b-2e04-4973-a03e-8d73b28f979d,https://api.elsevier.com/content/abstract/scopus_id/85205666950,85205666950,2-s2.0-85205666950,Global Trends and Issues in Child Marriage Research: Bibliometrics and Content Analysis,Juariah ,Journal of Population and Social Studies,,24654418,33,,452-471,2025-01-01,0,10.25133/JPSSV332025.024
74bc8373-30ad-4549-bbd9-ce15341aa645,https://api.elsevier.com/content/abstract/scopus_id/85207154701,85207154701,2-s2.0-85207154701,The Covenant's veil: Ethiopian orthodox tradition of elaboration,Antohin A.S.,The Covenant's Veil: Ethiopian Orthodox Tradition of Elaboration,,,,,1-197,2024-12-03,0,
639fb3cb-c88b-4888-8947-1ea13eb2e58c,https://api.elsevier.com/content/abstract/scopus_id/85205024918,85205024918,2-s2.0-85205024918,Institutional openness and analyst competition in China's capital market: Evidence of information acquisition advantages,Xu R.,Economic Modelling,02649993,,141,,,2024-12-01,0,10.1016/j.econmod.2024.106895
3b7417ae-1fee-40f5-a687-f045ecaf2596,https://api.elsevier.com/content/abstract/scopus_id/85201688745,85201688745,2-s2.0-85201688745,Bibliometric analysis of beneficial cannabis research: Performance analysis and science mapping from 2012 to 2022 and focus on Morocco,Laaboudi F.Z.,Toxicology Reports,22147500,,13,,,2024-12-01,0,10.1016/j.toxrep.2024.101713
0a38829a-c2f3-4e57-b748-926aaa9559cf,https://api.elsevier.com/content/abstract/scopus_id/85200252029,85200252029,2-s2.0-85200252029,The use of artificial intelligence to advance sustainable supply chain: retrospective and future avenues explored through bibliometric analysis,Zejjari I.,Discover Sustainability,,26629984,5,1,,2024-12-01,0,10.1007/s43621-024-00364-6
e0089e33-4d44-4e76-af14-944cf599260b,https://api.elsevier.com/content/abstract/scopus_id/85198722470,85198722470,2-s2.0-85198722470,"Exploring food consumption patterns in the province of Kenitra, Northwest of Morocco",Hindi Z.,BMC Public Health,,14712458,24,1,,2024-12-01,1,10.1186/s12889-024-19335-7
72d7de12-07e5-4879-ae74-71858b96e8dc,https://api.elsevier.com/content/abstract/scopus_id/85197538382,85197538382,2-s2.0-85197538382,Saving behavior among immigrant and native youth,Lössbroek J.,Comparative Migration Studies,,2214594X,12,1,,2024-12-01,0,10.1186/s40878-024-00389-w
5c363649-1c12-4d50-bfcb-d131572ceb1a,https://api.elsevier.com/content/abstract/scopus_id/85208775698,85208775698,2-s2.0-85208775698,Interfaith marketing: A cross-religious approach,Cabano F.G.,Interfaith Marketing: A Cross-Religious Approach,,,,,1-329,2024-11-20,0,10.4324/9781003506010
df247c26-bdf3-4239-ba6f-e7365c9797a7,https://api.elsevier.com/content/abstract/scopus_id/85174581191,85174581191,2-s2.0-85174581191,What drives the use of crowdfunding by micro-entrepreneurs in Morocco? – exploring fundraiser motives and characteristics,Meghouar H.,Journal of Entrepreneurship in Emerging Economies,20534604,20534612,16,6,1873-1902,2024-11-19,0,10.1108/JEEE-04-2023-0177
